#FileName	SpeciesCode	SpeciesName	Kingdom	Phylum	Subphylum	class	order	Family	genus
Absidia_idahoensis_thermophila.gb	ABSID	Absidia_idahoensis_var._thermophila	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_C	Mucorales	Cunninghamellaceae	Absidia
Acremonium_chrysogenum.gb	ACRCH	Acremonium_chrysogenum_ATCC_11550	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	mitosporicHypocreales	Acremonium
Agaricus_bisporus_burnettii_JB137S8.gb	AGABI	Agaricus_bisporus_var._burnettii_JB137-S8	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Agaricaceae	Agaricus
Ajellomyces_capsulatus_NAm1.gb	AJECA	Histoplasma_capsulatum_NAm1	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma
Amanita_muscaria_KoideBX008.gb	AMAMU	Amanita_muscaria_Koide_BX008	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricales	Amanitaceae	Amanita
Anncaliia_algerae_PRA339.gb	ANNAL	Anncaliia_algerae_PRA339	Fungi	Microsporidia	Microsporidia_S	Microsporidia_C	Microsporidia_O	Tubulinosematidae	Anncaliia
Arthroderma_benhamiae_CBS112371.gb	ARTBE	Arthroderma_benhamiae_CBS_112371	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Arthroderma
Arthrobotrys_oligospora_ATCC24927.gb	ARTOL	Arthrobotrys_oligospora_ATCC_24927	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia
Arthroderma_otae_CBS113480.gb	ARTOT	Arthroderma_otae_CBS_113480	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Onygenales	Arthrodermataceae	Arthroderma
Ashbya_aceri.gb	ASHAC	Saccharomycetaceae_sp._'Ashbya_aceri'	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium
Ashbya_gossypii_ATCC10895.gb	ASHGO	Ashbya_gossypii_ATCC_10895	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium
Aspergillus_clavatus_NRRL1.gb	ASPCL	Aspergillus_clavatus_NRRL_1	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_flavus_NRRL3357.gb	ASPFL	Aspergillus_flavus_NRRL3357	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_fumigatus_A1163.gb	ASPFU	Aspergillus_fumigatus_A1163	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_kawachii_IFO4308.gb	ASPKA	Aspergillus_kawachii_IFO_4308	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_niger.gb	ASPNI	Aspergillus_niger	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_ochraceoroseus.gb	ASPOC	Aspergillus_ochraceoroseus	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus.
